"Path","Format","Bytes","KB","Width","Height","Megapixels","HasAlpha","Hash"
"assets/images/8.png","png","2425154","2368.3","1536","1024","1.57","False","2E6893BC3D148C8BDEF5EBE22156A0ED7EB553AE83E15838E46C6F9C4C972474"
"assets/images/mentos.png","png","2360599","2305.3","1402","1122","1.57","False","1FCD076C4533DD4F5B6FFBB372781A7E69635F2299C45ABD6A7EE06D7671903F"
"assets/images/7.png","png","2321097","2266.7","1536","1024","1.57","False","2BC28C96781DFCB29CA141F0F636936947FC8CEE798A168B4CA33E9F928EC75B"
"assets/images/main-image.png","png","2174840","2123.9","1536","1024","1.57","False","D30FE3CB6DDB5DACA36C05E01EAA6C174A081BC573BEDC6CD05F596EEAC8F56C"
"assets/images/9.png","png","2167075","2116.3","1403","1024","1.44","True","F46D933991449C5314618B1754C11C0B197AE6A6D795BF56BAA402693A987175"
"assets/images/2.png","png","2070400","2021.9","1536","1024","1.57","False","35FF1AEA624A9D2F96DBA41C948AF58FCC1B03C5A3DD38D13EF52C9E51C07ADD"
"assets/images/Discharge - Copy - Copy.png","png","2067858","2019.4","1536","1024","1.57","False","3B24A44E4AF528C791F374D5CCC51C58C59678A4BD7C47DC776162115AB7C836"
"assets/images/6.png","png","2024180","1976.7","1536","1024","1.57","False","C09472FA3F7EB29ECF25E85119B7B132E7297A7C9A104E26D8E8C1D02DCE7A86"
"assets/images/Eduooz-front-office.png","png","1993433","1946.7","1536","1024","1.57","True","8FF8CAA4344F57E8358418DC589C78FEB6E6138EBA278FE797BD4C1A15C20763"
"assets/images/courses/Nursing/AIIMS.png","png","1485027","1450.2","1082","941","1.02","True","8825E8933C496AA4AA8BC4471EA423C97EF522B2AE4B8C25CBA9C993C8D6273D"
"assets/images/courses (2).png","png","1453110","1419.1","1804","872","1.57","False","04B902B85238684F2C3522689784E3951AB860699DD1CC56073337B42E52FBBA"
"assets/images/courses.png","png","1382975","1350.6","1810","869","1.57","False","59830CE20227FD356611E04CBBFBAAA902A9D0433817086FC2D3D0FF729CCE6D"
"assets/Eduooz-app/Course(GCC).jpg","jpg","1377781","1345.5","1125","4197","4.72","False","13A36C2A3140FF29A868999AA5C1777F0CE34D6D9BEF123E5B5A5249982A55E9"
"assets/images/courses/MLT/6.png","png","1063372","1038.4","768","858","0.66","True","360A1D2BE5B384ABB8D0D4948964CAD957E9DE01E3B22ACEC6104550C84F4870"
"assets/images/Base.png","png","830140","810.7","1328","439","0.58","True","70DEDC0A72EB302368EDAB6F1A5C885C728C5062CC082CB194887AFC4E04CC19"
"assets/images/phone-mockup.png","png","747013","729.5","1024","1536","1.57","True","1B01D5EB0B76F2121E099D7E7D43FEA623D35861711F947A32B6F25656BCAD4C"
"assets/Eduooz-app/Rank Booster.jpg","jpg","602719","588.6","750","2220","1.66","False","C16D73A22F1B6798A387D34055D69F85201965E69858AC522BDDBBC5CBF673AD"
"assets/Eduooz-app/iPhone 13 mini - 47.jpg","jpg","427483","417.5","1125","2382","2.68","False","528963C5ECBC25980857764A21A066A627E9F588D3708840D52F12478F0C1CC3"
"assets/images/app-mockup.png","png","343562","335.5","329","686","0.23","True","0F6C8F862E7F5D3A8F4049A158BD968EAE0356FA6E2FBCD0F654111138118266"
"assets/Eduooz-app/Course-1.jpg","jpg","233064","227.6","375","963","0.36","False","5B005E643713588145CC4BF96387EEFB84A99B6B1F8E844E4A9AA088D3632017"
"assets/images/Eduooz-App/eduooz-app-image (10).jpeg","jpeg","226775","221.5","838","1600","1.34","False","A00F9E88A33C7AF4A6A3F5F85A5D9446520CA5149EEDFC81D527A78982E069B2"
"assets/images/Eduooz-App/eduooz-app-image (16).jpeg","jpeg","226657","221.3","800","1600","1.28","False","9EE633674DA3FFBFF59887B83F318F2B59A4F1BE72D613D5DE578A6E839D5C1C"
"assets/Eduooz-app/Course-2.jpg","jpg","215155","210.1","375","1131","0.42","False","E75D571AD4BEB9228DDFFCD9FAB0A521D8BAFBF16B7FC66D7F2B98684B7DC6F4"
"assets/Eduooz-app/Game.jpg","jpg","202222","197.5","375","792","0.3","False","91D1AEF6BADF240890B57661E925CD0CBB3A99A8C937A675350BA3EA105E2682"
"assets/images/Eduooz-App/eduooz-app-image (7).jpeg","jpeg","199835","195.2","891","1600","1.43","False","7D88F30407D38735516DAE00F4D917235DA7D91BC59767CD24D6C22447C5267E"
"assets/images/Eduooz-App/eduooz-app-image (11).jpeg","jpeg","188414","184","756","1600","1.21","False","52E4FED4EFC503A879DDF02780EB9128FD5456CB0B9EC7B088362AFCD9C73D8D"
"assets/images/Eduooz-App/eduooz-app-image (9).jpeg","jpeg","184108","179.8","735","1600","1.18","False","187ADB78E807C6A8AD13A4C573E5530A044C813F57259A5D02DE606EA67C3B91"
"assets/images/Eduooz-App/eduooz-app-image (13).jpeg","jpeg","164576","160.7","847","1600","1.36","False","DB3C84FD9F1E1F98AD72A7AD0636DA448FD69A0597C4F58DEA00C89DB60C1800"
