"Source","Output","OldKB","NewKB","SavedKB"
"assets/Eduooz-app/Home.jpg","assets/Eduooz-app/Home-optimized.jpg","3105.3","364.7","2740.6"
"assets/images/Mentors/JEETHU.JPG.jpeg","assets/images/Mentors/optimized/jeethu-paul.jpg","2093.1","114.4","1978.8"
"assets/images/Mentors/ARATHY.JPG.jpeg","assets/images/Mentors/optimized/arathy-surendran.jpg","1975.7","112.1","1863.6"
"assets/images/Mentors/SREELEKSHMI.jpeg","assets/images/Mentors/optimized/sreelakshmi-em.jpg","1975.7","101.3","1874.3"
"assets/images/Mentors/VIDHU.JPG.jpeg","assets/images/Mentors/optimized/vidhu-r-vijayan.jpg","1716.1","104.7","1611.5"
"assets/images/Mentors/NAYANA.jpeg","assets/images/Mentors/optimized/nayana-shaji.jpg","1648.3","96.8","1551.5"
"assets/images/Mentors/JESNA.JPG.jpeg","assets/images/Mentors/optimized/jesna-prasad.jpg","1624.8","96","1528.8"
"assets/images/Mentors/HONEY.JPG.jpeg","assets/images/Mentors/optimized/honey-mol-pv.jpg","1623.4","93.1","1530.3"
"assets/images/Mentors/SAI KIRAN T C.jpeg","assets/images/Mentors/optimized/sai-kiran-tc.jpg","382.3","168.5","213.8"
"assets/images/Mentors/REVATHY B C.jpeg","assets/images/Mentors/optimized/revathy-bc.jpg","163.8","75.6","88.2"
"assets/images/Mission.png","assets/images/optimized/mission.jpg","2184","117.9","2066"
"assets/images/Academy.png","assets/images/optimized/academy.jpg","2077.4","114.8","1962.6"
"assets/images/about-the-origin.png","assets/images/optimized/about-the-origin.jpg","1962.5","99.6","1862.9"
"assets/images/MENTORS-FINAL.png","assets/images/optimized/mentors-final.jpg","2326.2","134.8","2191.4"
"assets/images/Nursing Coaching.png","assets/images/optimized/nursing-coaching.jpg","1863.6","82.1","1781.5"
"assets/images/Pharmacist Coaching.png","assets/images/optimized/pharmacist-coaching.jpg","2015.1","88.6","1926.5"
"assets/images/courses/Nursing/DHS.png","assets/images/optimized/course-nursing-dhs.jpg","2437.9","131.7","2306.2"
"assets/images/courses/Nursing/SSC.png","assets/images/optimized/course-nursing-ssc.jpg","2274.1","128.4","2145.6"
"assets/images/courses/Nursing/LSGD.png","assets/images/optimized/course-nursing-lsgd.jpg","2157.2","111.3","2045.9"
"assets/images/courses/Nursing/DSSSB_Nursing.png","assets/images/optimized/course-nursing-dsssb.jpg","2088.3","89.4","1998.9"
"assets/images/courses/Nursing/NVS.png","assets/images/optimized/course-nursing-nvs.jpg","2033.4","86","1947.4"
"assets/images/courses/Nursing/SGPGIMS.png","assets/images/optimized/course-nursing-sgpgims.jpg","2027.2","92.4","1934.8"
"assets/images/courses/Nursing/NURSING TUTOR.png","assets/images/optimized/course-nursing-tutor.jpg","2005.6","84.3","1921.3"
"assets/images/courses/Nursing/ESIC.png","assets/images/optimized/course-nursing-esic.jpg","1950.4","83.9","1866.5"
